geo_level, geo_code, geo_version, class, name, statistic, total
country,ZA,2016,500 001-800K,South Africa,Highest price per hectare in 12 months(R/ha),791667
country,ZA,2016,800 001-1M,South Africa,Highest price per hectare in 12 months(R/ha),1000000
country,ZA,2016,Above 1M,South Africa,Highest price per hectare in 12 months(R/ha),11742988
country,ZA,2016,Under 1.5K,South Africa,Average price per hectare in 12 months(R/ha),722
country,ZA,2016,1 501-3K,South Africa,Average price per hectare in 12 months(R/ha),2217
country,ZA,2016,3 001-5K,South Africa,Average price per hectare in 12 months(R/ha),3950
country,ZA,2016,5 001-10K,South Africa,Average price per hectare in 12 months(R/ha),7119
country,ZA,2016,10 001-20K,South Africa,Average price per hectare in 12 months(R/ha),13821
country,ZA,2016,20 001-30K,South Africa,Average price per hectare in 12 months(R/ha),24891
country,ZA,2016,30 001-40K,South Africa,Average price per hectare in 12 months(R/ha),34566
country,ZA,2016,40 001-50K,South Africa,Average price per hectare in 12 months(R/ha),45378
country,ZA,2016,50 001-100K,South Africa,Average price per hectare in 12 months(R/ha),69071
country,ZA,2016,100 001-150K,South Africa,Average price per hectare in 12 months(R/ha),121214
country,ZA,2016,150 001-200K,South Africa,Average price per hectare in 12 months(R/ha),174340
country,ZA,2016,200 001-300K,South Africa,Average price per hectare in 12 months(R/ha),248391
country,ZA,2016,300 001-500K,South Africa,Average price per hectare in 12 months(R/ha),374654
country,ZA,2016,500 001-800K,South Africa,Average price per hectare in 12 months(R/ha),628564
country,ZA,2016,800 001-1M,South Africa,Average price per hectare in 12 months(R/ha),878649
country,ZA,2016,Above 1M,South Africa,Average price per hectare in 12 months(R/ha),3227517
country,ZA,2016,Under 1.5K,South Africa,Price trend per hectare in 12 months(R/ha),-4
country,ZA,2016,1 501-3K,South Africa,Price trend per hectare in 12 months(R/ha),-8
country,ZA,2016,3 001-5K,South Africa,Price trend per hectare in 12 months(R/ha),-43
country,ZA,2016,5 001-10K,South Africa,Price trend per hectare in 12 months(R/ha),-4
country,ZA,2016,10 001-20K,South Africa,Price trend per hectare in 12 months(R/ha),58
country,ZA,2016,20 001-30K,South Africa,Price trend per hectare in 12 months(R/ha),-31
country,ZA,2016,30 001-40K,South Africa,Price trend per hectare in 12 months(R/ha),69
country,ZA,2016,40 001-50K,South Africa,Price trend per hectare in 12 months(R/ha),-225
country,ZA,2016,50 001-100K,South Africa,Price trend per hectare in 12 months(R/ha),191
country,ZA,2016,100 001-150K,South Africa,Price trend per hectare in 12 months(R/ha),451
country,ZA,2016,150 001-200K,South Africa,Price trend per hectare in 12 months(R/ha),-393
country,ZA,2016,200 001-300K,South Africa,Price trend per hectare in 12 months(R/ha),-2014
country,ZA,2016,300 001-500K,South Africa,Price trend per hectare in 12 months(R/ha),2465
country,ZA,2016,500 001-800K,South Africa,Price trend per hectare in 12 months(R/ha),763
country,ZA,2016,800 001-1M,South Africa,Price trend per hectare in 12 months(R/ha),-5563
country,ZA,2016,Above 1M,South Africa,Price trend per hectare in 12 months(R/ha),254986
country,ZA,2016,Under 1.5K,South Africa,Average trend in 12 months(%),-0.5
country,ZA,2016,1 501-3K,South Africa,Average trend in 12 months(%),-0.4
country,ZA,2016,3 001-5K,South Africa,Average trend in 12 months(%),-1.1
country,ZA,2016,5 001-10K,South Africa,Average trend in 12 months(%),-0.1
country,ZA,2016,10 001-20K,South Africa,Average trend in 12 months(%),0.4
country,ZA,2016,20 001-30K,South Africa,Average trend in 12 months(%),-0.1
